"num","team","total_epa","auto_cycles","auto_points","teleop_cycles","teleop_points","total_cycles","total_points","links","cube_cycles","cube_points","cone_cycles","cone_points","bot_cycles","mid_cycles","top_cycles","fouls_committed","fouls_drawn","capped_fouls_committed","capped_fouls_drawn"
"1323","MadTown Robotics","86.7","2.7","14.1","9","31.3","11.7","65.6","4.1","6.6","19.7","5.1","21.4","4.3","3.6","3.8","2.3","0.7","1.7","0.8"
"254","The Cheesy Poofs","77.4","2.1","11.9","8.5","27","10.6","56.7","3.6","4.7","15","5.9","22.8","3.1","4","3.5","0.5","1.3","0.5","1.2"
"5940","BREAD","75.1","2.6","13.7","8.1","26.2","10.7","59","3.8","4.9","16.1","5.7","22.3","2.5","4.9","3.2","1.2","4.5","1.4","4.3"
"6036","Peninsula Robotics","70.1","2.2","11.8","8.5","28.6","10.7","58.9","3.7","5.1","16.8","5.6","22.3","3","3.8","3.9","1.8","2.1","2","1.2"
"1678","Citrus Circuits","68","2.4","11.7","7.5","25.5","9.9","53.2","3.2","5.1","15.2","4.9","20","3.3","3.4","3.2","0.4","2.5","0.4","2.9"
"4414","HighTide","66.6","1.6","7.3","8.2","29.1","9.8","53","3.3","4.3","12.1","5.5","20.8","3.4","3.7","2.7","0.9","1.6","1.4","1.6"
"3476","Code Orange","65.1","2.3","10.9","6.9","24.7","9.2","51.1","3.1","3.9","12.1","5.3","21.4","3.2","2.7","3.4","1.4","4.4","1.7","2.9"
"1538","The Holy Cows","65.1","2.2","9.9","7.3","24.9","9.6","50.6","3.2","2.2","9","7.4","25.5","2.6","3.9","3.1","1.5","0","2","0"
"4255","Robodores","64.5","1.9","11.2","6.7","25","8.6","49.1","2.6","3.6","13.7","5","22.5","1.8","1.6","5.1","4.5","3.8","2.7","2.8"
"581","Blazing Bulldogs","64.5","1","5.5","7.6","27.8","8.5","48","2.9","4","12.6","4.5","20.9","1.8","2.4","4.4","2.8","0.8","3.1","0.9"
"7157","μBotics","62.2","1.6","8.4","8.3","27.8","9.9","52.2","3.2","5.4","15.9","4.5","20.2","3","2.9","3.9","0.1","1.8","0.2","2"
