"num","team","total_epa","auto_cycles","auto_points","teleop_cycles","teleop_points","total_cycles","total_points","links","cube_cycles","cube_points","cone_cycles","cone_points","bot_cycles","mid_cycles","top_cycles","fouls_committed","fouls_drawn","capped_fouls_committed","capped_fouls_drawn"
"2056","OP Robotics","81.6","2.7","12.7","8.8","32.2","11.5","64.3","3.9","3.8","13","7.8","29.5","3.2","4.2","4.2","0.5","2.2","0.5","2.4"
"4678","CyberCavs","65.8","2.5","13.4","7.6","26.9","10.1","57.3","3.4","2.8","11.9","7.3","28.4","1.4","4.3","4.4","1.9","2.8","2","2.1"
"1325","Inverse Paradox","64.4","2.2","12.2","7.2","26.3","9.4","52.4","2.8","3.1","12.4","6.3","25.9","1","4.1","4.4","1.3","0.3","1.1","0.3"
"3683","Team DAVE","60.3","2.1","8.9","6.8","24.9","8.9","47.3","2.7","3.3","11.9","5.6","21.6","1.7","4","3.2","1.9","0.3","1.3","0.2"
"1114","Simbotics","59.7","1.5","7.6","8.2","28.2","9.7","51.4","3.1","4.1","13.7","5.6","20.7","3","3.2","3.4","0.8","0.4","0.8","0.3"
"4039","MakeShift Robotics","57.5","1.6","8.3","7.3","23.4","8.8","45.5","2.8","3.8","13.2","5","18.5","2.3","3.5","3","0","0.2","0","0.2"
"4476","W.A.F.F.L.E.S.","54.6","1.2","7","5.9","20.6","7.1","38.5","2.2","3.1","11.3","4","16.1","1.9","1.9","3.4","2.2","1.4","1.8","1.3"
"4946","The Alpha Dogs","54.3","1.8","9.4","7","24.9","8.8","47.8","2.7","3.9","14.4","4.9","18.5","2.2","3.1","3.5","2.8","0","2.6","0"
"4907","Thunderstamps","54.1","1.7","10","6.8","21.4","8.5","45.1","2.8","2.2","9.1","6.3","22.1","2","3.7","2.9","0.5","0.3","0.5","0.3"
"3990","Tech for Kids","53.8","1.2","7.7","6","20.5","7.2","38.7","2.1","2.8","9.6","4.4","18.6","2.2","1.4","3.7","0.2","3.2","0.1","2.7"
"1241","THEORY6","53.4","1.5","8.3","6.1","22.3","7.6","41.4","2.1","2.5","9.7","5.1","20.6","1.8","1.7","4","0","2.1","0","2.4"
"4920","Belle River Boltheads","52.9","1.6","9.2","4.8","16.8","6.4","36.8","2.2","1.9","8.2","4.4","17.7","0.7","2.7","2.9","1","0.7","1.1","0.7"
"4688","Saints Bot","50.8","1","6","5.8","22.3","6.8","37.3","1.8","2.4","9.6","4.4","18.7","0.7","2.1","3.9","0.9","1","0.8","1"
"7558","ALT-F4","50.4","1.9","11.4","6.1","20.2","8.1","43.2","2.3","3.2","11.4","4.9","19.4","1.9","2.9","3.3","0.4","0.3","0.4","0.4"
"4903","Mustangs","50","1.2","7.9","6.8","24.4","8","45.7","2.7","3","11.6","5.1","20.7","1.2","2.6","4.2","0.9","0.8","1","1.2"
"4976","Revolt Robotics","49.6","1.1","6.9","6","21.6","7.1","39.1","2.1","2.8","9.9","4.3","18.6","0.9","2.7","3.5","0","1.1","0","1"
"2200","MMRambotics","49.4","2.4","10.6","4.6","17.2","7","38.2","2.1","1.9","9.1","5","18.6","0.7","3.7","2.6","1.4","0.5","1.4","0.4"
"5406","Celt-X","49","1.4","8","6.1","21","7.6","39.6","2.1","3","10.9","4.5","18.1","1.9","2.1","3.5","1.4","3.2","1.4","3.3"
"1310","Runnymede Robotics","48.5","1.6","9.3","4","16","5.6","33.5","1.7","2","8.6","3.6","16.6","0.8","1.1","3.8","2.6","0.9","2.8","0.7"
"610","Crescent Coyotes","47.9","1","5.6","5","17.3","6","30.4","1.5","3.1","10.4","2.9","12.5","2.2","0.9","3","0","0.2","0","0.3"
"3996","RIKITIK","47.8","1.8","9.5","4","13.3","5.8","28.9","1.2","2.3","8.9","3.5","14.1","1.9","1.1","2.8","0.1","4","0.2","3.1"
"3550","Robotronix","45.7","1.1","6.2","3.9","17.7","5","30.3","1.3","1.1","5.8","3.9","18.1","-0.1","1.4","3.8","0.7","2.9","0.4","2.5"
"5409","Chargers","45.6","1.3","4.9","6.3","22.6","7.6","38.8","2.3","2.2","7.4","5.5","20.1","1.7","3.4","2.5","0.9","0.9","0.8","0.9"
"4069","Lo-Ellen Robotics","45.4","1.7","8.8","4.7","19.2","6.4","37.4","1.9","1.6","8.7","4.8","19.4","0.8","1.8","3.9","2.3","3","2.2","1.8"
"5439","Huskies","44.7","1.2","6.6","3.9","14.7","5.1","30.4","1.8","2.1","7.8","3","13.5","1.6","0.3","3.2","2","1.7","2.3","1.7"
"2609","BeaverworX","43.2","1.1","5.9","4.6","17.8","5.7","31.2","1.5","1.6","7.1","4","16.3","0.7","2","3","0.9","0.6","0.9","0.8"
"2706","Merge Robotics","42.6","0.8","4.7","4.2","18.5","5","28.9","1.1","1.3","8","3.7","15.3","-0.1","1.4","3.7","2.2","0.3","2.2","0.5"
"5024","Raider Robotics","42.5","1.1","5.8","5.7","17.5","6.8","33.6","2.1","2.6","8.9","4.2","14.4","1.4","3.9","1.5","0.8","0.4","0.8","0.6"
"2634","The Gryphons","42.3","0.4","1.6","5.4","20.6","5.8","30.6","1.7","1.1","5","4.7","17.2","1","2.1","2.7","0.2","0.3","0.2","0.3"
"3161","Tronic Titans","42.2","1.5","5.6","6","18.8","7.5","35.3","2.2","3","10.2","4.4","14.2","1.9","4.3","1.2","0","1.2","0.4","1"
"9098","Firehawks","42.1","1.2","5.7","6.5","15.3","7.7","32.5","2.3","6.8","17","0.9","4","5.7","0.7","1.2","0.3","0","0.4","0.2"
"4343","MaxTech","41.7","1","6","4.3","16.3","5.3","28.7","1.3","1.7","6.8","3.6","15.6","1.4","0.3","3.5","0.2","3.7","0.2","3.7"
"1305","Ice Cubed","40.8","1.7","8.2","4.1","11.2","5.8","27.8","1.7","4.3","13.4","1.5","6","3","1.1","1.7","2.9","2.2","2.6","2.3"
"6390","Hephaestus","40.7","1","4.2","4.7","16","5.7","26.4","1.2","3.3","10.3","2.4","10","2.3","1","2.3","1.1","4.2","1.1","3.7"
"4421","FORGE Robotics","39.5","1","4.2","5.1","16","6.1","28","1.6","2.5","8.7","3.6","11.5","0.4","5","0.7","0.8","2.2","0.8","2.5"
"4917","Sir Lancerbot","39.3","0.9","4.4","4.6","17.6","5.5","29.1","1.4","1.9","7.2","3.5","14.7","1","1.6","2.8","0.7","2.3","0.7","2.4"
"8081","UMEI Lightning Robotics","38.9","1.3","5.7","4.5","15.1","5.8","27.3","1.3","1.4","6.5","4.3","14.3","0.7","3.7","1.4","4.6","0.3","4.5","0.4"
"3986","Express-O","38.5","0.6","2.4","4.3","14","4.9","23.5","1.4","2.9","8.4","2","8","2.2","1.1","1.6","3.9","2.3","2.9","1.4"
