"num","team","total_epa","auto_cycles","auto_points","teleop_cycles","teleop_points","total_cycles","total_points","links","cube_cycles","cube_points","cone_cycles","cone_points","bot_cycles","mid_cycles","top_cycles","fouls_committed","fouls_drawn","capped_fouls_committed","capped_fouls_drawn"
"1323","MadTown Robotics","86.7","2.7","14.1","9","31.3","11.7","65.6","4.1","6.6","19.7","5.1","21.4","4.3","3.6","3.8","2.3","0.7","1.7","0.8"
"2056","OP Robotics","81.6","2.7","12.7","8.8","32.2","11.5","64.3","3.9","3.8","13","7.8","29.5","3.2","4.2","4.2","0.5","2.2","0.5","2.4"
"254","The Cheesy Poofs","77.4","2.1","11.9","8.5","27","10.6","56.7","3.6","4.7","15","5.9","22.8","3.1","4","3.5","0.5","1.3","0.5","1.2"
"5940","BREAD","75.1","2.6","13.7","8.1","26.2","10.7","59","3.8","4.9","16.1","5.7","22.3","2.5","4.9","3.2","1.2","4.5","1.4","4.3"
"3005","RoboChargers","72.4","2.4","13.1","8.1","28.8","10.5","59.3","3.5","3.5","13.5","7","25.3","2.4","4.6","3.6","3","0.5","3","1.1"
"111","WildStang","71.1","2.2","11.5","7.5","26.9","9.7","53.3","3","3.3","13.5","6.3","25","1","4.5","4.2","0","2.5","0","2.5"
"3538","RoboJackets","70.7","1.6","7.7","8.4","29.6","10","52.6","3.1","3.1","11.4","6.9","25.4","2.6","3.4","4","0.3","4.8","0.3","3.6"
"6036","Peninsula Robotics","70.1","2.2","11.8","8.5","28.6","10.7","58.9","3.7","5.1","16.8","5.6","22.3","3","3.8","3.9","1.8","2.1","2","1.2"
"1678","Citrus Circuits","68","2.4","11.7","7.5","25.5","9.9","53.2","3.2","5.1","15.2","4.9","20","3.3","3.4","3.2","0.4","2.5","0.4","2.9"
"930","Mukwonago BEARs","67.9","2.4","10.7","7.9","27.1","10.3","54.7","3.4","4.6","15.1","5.7","22.8","2.7","3.9","3.7","0.3","0","0","0"
"4414","HighTide","66.6","1.6","7.3","8.2","29.1","9.8","53","3.3","4.3","12.1","5.5","20.8","3.4","3.7","2.7","0.9","1.6","1.4","1.6"
"2468","Team Appreciate","66.3","2.1","11.8","8.4","25.8","10.5","55.6","3.6","5.1","16","5.4","20.7","3.8","3.3","3.4","1.3","0.3","1.3","0.7"
"4678","CyberCavs","65.8","2.5","13.4","7.6","26.9","10.1","57.3","3.4","2.8","11.9","7.3","28.4","1.4","4.3","4.4","1.9","2.8","2","2.1"
"133","B.E.R.T.","65.1","2","10.9","8","24.7","10","51.8","3.3","6.2","18.2","3.8","17.3","4","2.1","3.8","0.5","0.7","0.7","0.7"
"3476","Code Orange","65.1","2.3","10.9","6.9","24.7","9.2","51.1","3.1","3.9","12.1","5.3","21.4","3.2","2.7","3.4","1.4","4.4","1.7","2.9"
"1538","The Holy Cows","65.1","2.2","9.9","7.3","24.9","9.6","50.6","3.2","2.2","9","7.4","25.5","2.6","3.9","3.1","1.5","0","2","0"
"2046","Bear Metal","64.9","2.4","12.9","7.8","25.2","10.2","55.3","3.4","5.1","16.4","5.1","21.1","2.9","3.4","3.8","0.1","0.3","0.1","0.3"
"2767","Stryke Force","64.9","2.4","12.4","7.3","23.7","9.7","52.4","3.3","3.4","12.8","6.3","23.2","2","4.4","3.3","3.1","3.6","2.8","3.5"
"1577","Steampunk","64.9","1.4","8.3","8.9","28.4","10.3","54.6","3.6","5","14.8","5.3","21.2","3.2","3.8","3.4","2.1","1.8","2.1","2.2"
"6329","The Bucks' Wrath","64.8","1.8","10.6","8.5","29.5","10.3","58.4","3.7","3.4","12.5","6.9","25.3","2.7","3.8","3.8","0","0.3","0","0.2"
"4255","Robodores","64.5","1.9","11.2","6.7","25","8.6","49.1","2.6","3.6","13.7","5","22.5","1.8","1.6","5.1","4.5","3.8","2.7","2.8"
