"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1323","MadTown Robotics","1","86.7","2067","2039","21.8","55.2","9.8","1.02","0.77","2023mttd","Madtown Throwdown","9","52-1-0","0.981"
"254","The Cheesy Poofs","3","77.4","1964","1960","18.8","49.5","9.2","1","0.44","2023mttd","Madtown Throwdown","9","36-5-0","0.878"
"5940","BREAD","4","75.1","1938","1940","20.7","45.6","8.9","0.8","0.58","2023mttd","Madtown Throwdown","9","40-9-0","0.816"
"6036","Peninsula Robotics","8","70.1","1883","1897","16.5","45.7","7.9","0.94","0.35","N/A","N/A","N/A","49-18-1","0.728"
"1678","Citrus Circuits","9","68","1860","1880","19.1","36.6","12.3","0.98","0.71","2023mttd","Madtown Throwdown","9","62-7-1","0.893"
"4414","HighTide","11","66.6","1844","1867","14.1","44.4","8.1","0.76","0.47","N/A","N/A","N/A","60-10-1","0.852"
"3476","Code Orange","15","65.1","1828","1855","15.8","41.8","7.6","0.58","0.34","N/A","N/A","N/A","36-17-0","0.679"
"1538","The Holy Cows","16","65.1","1827","1854","15.8","40.3","9","0.48","0.43","N/A","N/A","N/A","33-13-0","0.717"
"4255","Robodores","21","64.5","1821","1850","19.2","37.6","7.8","0.44","0.36","2023mttd","Madtown Throwdown","9","19-9-0","0.679"
"581","Blazing Bulldogs","22","64.5","1820","1849","14.2","41.8","8.4","0.62","0.52","2023mttd","Madtown Throwdown","9","17-10-0","0.630"
"7157","μBotics","35","62.2","1796","1830","12.4","41.5","8.3","0.71","0.44","2023cavs","Vitruvian Scrimmage Fall","9","33-11-1","0.744"
"604","Quixilver","37","61.9","1792","1828","13.4","38.7","9.8","0.52","0.65","N/A","N/A","N/A","28-16-0","0.636"
"973","Greybots","50","60","1771","1811","15.7","36","8.3","0.7","0.5","2023mttd","Madtown Throwdown","9","52-12-1","0.808"
"4738","Patribots","59","58.8","1757","1801","14.8","37.5","6.5","0.56","0.2","N/A","N/A","N/A","30-12-0","0.714"
"2659","RoboWarriors","60","58.6","1755","1799","14.4","35","9.1","0.61","0.44","N/A","N/A","N/A","38-10-0","0.792"
"971","Spartan Robotics","71","58","1749","1794","14.2","35.4","8.4","0.55","0.3","2023mttd","Madtown Throwdown","9","29-16-0","0.644"
"972","Iron Claw","77","57.7","1746","1792","15","33.6","9.1","0.57","0.31","N/A","N/A","N/A","39-27-1","0.590"
"114","Eaglestrike","82","57.2","1740","1788","14","35.8","7.4","0.48","0.33","2023mttd","Madtown Throwdown","9","21-9-0","0.700"
"8033","Highlander Robotics","100","56.2","1729","1779","12.4","34.2","9.6","0.58","0.43","N/A","N/A","N/A","33-17-1","0.657"
"4201","The Vitruvian Bots","107","55.9","1725","1776","12.7","34.8","8.4","0.41","0.42","2023cavs","Vitruvian Scrimmage Fall","9","26-14-0","0.650"
"1868","Space Cookies","115","55.3","1719","1771","17.5","28.2","9.6","0.25","0.47","N/A","N/A","N/A","35-26-0","0.574"
"1351","TKO","142","54.3","1708","1763","12.8","33.1","8.3","0.56","0.3","2023mttd","Madtown Throwdown","9","19-7-0","0.731"
"5199","Robot Dolphins From Outer S...","148","54.1","1706","1761","13.3","33.3","7.5","0.46","0.28","2023cavs","Vitruvian Scrimmage Fall","9","42-14-0","0.750"
"696","Circuit Breakers","150","53.9","1703","1759","11","35.4","7.5","0.21","0.21","N/A","N/A","N/A","19-12-1","0.609"
"3255","SuperNURDs","164","53.1","1695","1753","15","31.7","6.5","0.45","0.4","N/A","N/A","N/A","19-7-0","0.731"
"4415","EPIC Robotz","166","53","1694","1752","17.2","28.8","7","0.31","0.36","N/A","N/A","N/A","39-20-1","0.658"
"3647","Millennium Falcons","172","52.6","1689","1748","17.3","29.1","6.2","0.71","0.08","N/A","N/A","N/A","36-23-0","0.610"
"115","MVRT","178","52.4","1686","1747","13","31.9","7.6","0.29","0.42","N/A","N/A","N/A","28-12-0","0.700"
"3512","Spartatroniks","192","51.6","1676","1740","11.2","31.5","8.9","0.47","0.55","N/A","N/A","N/A","14-14-1","0.500"
"687","The Nerd Herd","199","51.2","1671","1737","14.6","27.8","8.9","0.43","0.45","2023cavs","Vitruvian Scrimmage Fall","9","42-16-1","0.720"
"2073","EagleForce","220","50.5","1662","1730","15.2","28.8","6.6","0.41","0.41","N/A","N/A","N/A","26-17-1","0.602"
"1671","Buchanan Bird Brains","227","50.2","1659","1728","12.9","30.2","7.1","0.36","0.3","2023mttd","Madtown Throwdown","9","21-12-0","0.636"
"3970","Duncan Dynamics","229","50.1","1658","1727","13.2","30.1","6.8","0.51","0.41","2023mttd","Madtown Throwdown","9","20-11-0","0.645"
"846","The Funky Monkeys","259","49.2","1649","1720","14.1","32.7","2.5","0.22","0.21","N/A","N/A","N/A","16-9-1","0.635"
"3669","CarbonKnights","293","48","1639","1709","14.5","26.6","6.9","0.21","0.32","N/A","N/A","N/A","13-14-0","0.481"
"5419","Berkelium","303","47.8","1638","1708","13.6","28.3","5.9","0.47","0.37","2023mttd","Madtown Throwdown","9","38-21-1","0.642"
"2485","W.A.R. Lords","310","47.6","1636","1706","14.2","24","9.5","0.29","0.42","N/A","N/A","N/A","14-11-0","0.560"
"599","The Robodox","313","47.6","1636","1705","13.1","26.9","7.5","0.06","0.35","2023cavs","Vitruvian Scrimmage Fall","9","29-21-0","0.580"
"6560","Charging Champions","323","47.3","1634","1703","14.1","26.8","6.4","0.61","0.39","2023cavs","Vitruvian Scrimmage Fall","9","28-18-0","0.609"
"294","Beach Cities Robotics","332","46.9","1632","1699","12.5","27.5","6.8","0.22","0.26","N/A","N/A","N/A","17-13-0","0.567"
"9084","Octobots","335","46.8","1632","1699","11.8","25.7","9.3","0.26","0.39","N/A","N/A","N/A","26-17-1","0.602"
"5026","Iron Panthers","337","46.8","1632","1699","16.7","23","7.1","0.43","0.42","2023mttd","Madtown Throwdown","9","23-22-0","0.511"
"649","MSET Fish","338","46.8","1632","1699","14.7","25.4","6.8","0.4","0.41","N/A","N/A","N/A","24-19-0","0.558"
"6995","NOMAD","365","46","1627","1692","11.8","28.3","5.9","0.12","0.05","N/A","N/A","N/A","34-18-0","0.654"
"5507","Robotic Eagles","377","45.6","1625","1689","13.9","25.2","6.5","0.44","0.51","N/A","N/A","N/A","17-6-0","0.739"
"2584","Flame of The West","387","45.4","1623","1687","12.3","28.2","4.9","0.13","-0.06","N/A","N/A","N/A","15-13-0","0.536"
"2551","Penguin Empire","419","44.4","1618","1679","11.3","25.8","7.3","0.29","0.3","N/A","N/A","N/A","27-17-0","0.614"
