"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"2056","OP Robotics","2","81.6","2010","1995","18.5","55.2","7.9","1.03","0.6","N/A","N/A","N/A","61-8-0","0.884"
"4678","CyberCavs","13","65.8","1835","1860","19.5","39.5","6.8","0.68","0.39","N/A","N/A","N/A","46-8-0","0.852"
"1325","Inverse Paradox","23","64.4","1819","1848","19.7","34.9","9.8","0.67","0.48","N/A","N/A","N/A","60-26-0","0.698"
"3683","Team DAVE","49","60.3","1775","1814","13","41.4","6","0.65","0.08","N/A","N/A","N/A","51-15-0","0.773"
"1114","Simbotics","53","59.7","1767","1808","12.7","39.1","7.9","0.7","0.4","N/A","N/A","N/A","49-16-0","0.754"
"4039","MakeShift Robotics","81","57.5","1744","1790","15.7","31.9","10","0.31","0.5","N/A","N/A","N/A","45-18-1","0.711"
"4476","W.A.F.F.L.E.S.","133","54.6","1711","1765","14.3","31.4","8.9","0.35","0.51","N/A","N/A","N/A","45-13-0","0.776"
"4946","The Alpha Dogs","143","54.3","1708","1763","15.5","29.5","9.4","0.59","0.39","N/A","N/A","N/A","45-21-0","0.682"
"4907","Thunderstamps","147","54.1","1706","1761","14.1","32.4","7.6","0.67","0.35","N/A","N/A","N/A","49-17-0","0.742"
"3990","Tech for Kids","153","53.8","1703","1759","15.6","29.8","8.4","0.39","0.49","N/A","N/A","N/A","28-10-0","0.737"
"1241","THEORY6","159","53.4","1698","1755","13.4","32.2","7.8","0.33","0.41","N/A","N/A","N/A","49-28-0","0.636"
"4920","Belle River Boltheads","167","52.9","1692","1750","15.1","31.3","6.5","0.4","0.31","N/A","N/A","N/A","34-23-1","0.595"
"4688","Saints Bot","215","50.8","1665","1733","10.8","31.4","8.6","0.43","0.36","N/A","N/A","N/A","19-15-0","0.559"
"7558","ALT-F4","223","50.4","1661","1729","16.9","25.9","7.6","0.42","0.31","N/A","N/A","N/A","44-17-0","0.721"
"4903","Mustangs","233","50","1657","1726","15.8","28","6.3","0.46","0.3","N/A","N/A","N/A","35-25-0","0.583"
"4976","Revolt Robotics","248","49.6","1652","1722","11.9","30","7.7","0.45","0.38","N/A","N/A","N/A","37-18-0","0.673"
"2200","MMRambotics","255","49.4","1651","1721","16.1","24.4","9","0.49","0.37","N/A","N/A","N/A","39-17-0","0.696"
"5406","Celt-X","267","49","1647","1718","15.1","25.3","8.7","0.51","0.3","N/A","N/A","N/A","34-21-0","0.618"
"1310","Runnymede Robotics","279","48.5","1643","1714","16.8","21.6","10.2","0.14","0.56","N/A","N/A","N/A","28-21-0","0.571"
"610","Crescent Coyotes","301","47.9","1638","1708","13.5","26.1","8.3","0.21","0.49","N/A","N/A","N/A","38-19-1","0.664"
"3996","RIKITIK","306","47.8","1638","1707","14","23","10.8","0.06","0.51","N/A","N/A","N/A","18-6-0","0.750"
"3550","Robotronix","373","45.7","1625","1689","12.3","24","9.4","-0.01","0.47","N/A","N/A","N/A","16-9-0","0.640"
"5409","Chargers","376","45.6","1625","1689","12.5","23.6","9.6","0.55","0.46","N/A","N/A","N/A","30-28-0","0.517"
"4069","Lo-Ellen Robotics","386","45.4","1624","1687","12.7","25.1","7.6","0.33","0.48","N/A","N/A","N/A","34-21-1","0.616"
"5439","Huskies","409","44.7","1619","1681","13.5","22.9","8.2","0.11","0.22","N/A","N/A","N/A","8-4-0","0.667"
"2609","BeaverworX","470","43.2","1611","1668","12.8","23.1","7.4","0.37","0.45","N/A","N/A","N/A","40-23-0","0.635"
"2706","Merge Robotics","500","42.6","1607","1663","9.9","24.6","8","0.12","0.29","N/A","N/A","N/A","17-26-0","0.395"
"5024","Raider Robotics","502","42.5","1606","1662","14.3","20","8.2","0.45","0.55","N/A","N/A","N/A","31-28-0","0.525"
"2634","The Gryphons","508","42.3","1605","1661","6.3","27.2","8.9","0.28","0.44","N/A","N/A","N/A","11-17-0","0.393"
"3161","Tronic Titans","514","42.2","1605","1659","11.4","23.5","7.3","0.25","0.09","N/A","N/A","N/A","27-32-0","0.458"
"9098","Firehawks","518","42.1","1604","1659","11.7","21.9","8.5","0.49","0.42","N/A","N/A","N/A","28-21-0","0.571"
"4343","MaxTech","531","41.7","1602","1655","12.5","24","5.2","0.28","0.23","N/A","N/A","N/A","22-22-0","0.500"
"1305","Ice Cubed","570","40.8","1596","1648","11.4","21.2","8.2","0.2","0.34","N/A","N/A","N/A","36-16-0","0.692"
"6390","Hephaestus","576","40.7","1596","1647","10.9","21.7","8","-0.04","0.25","N/A","N/A","N/A","14-14-0","0.500"
"4421","FORGE Robotics","620","39.5","1589","1637","8.6","24.4","6.5","0.09","0.29","N/A","N/A","N/A","16-14-0","0.533"
"4917","Sir Lancerbot","630","39.3","1588","1635","11.2","21.3","6.9","0.4","0.33","N/A","N/A","N/A","22-24-0","0.478"
"8081","UMEI Lightning Robotics","643","38.9","1585","1632","12.2","21.6","5.2","0.21","0.35","N/A","N/A","N/A","24-21-0","0.533"
"3986","Express-O","661","38.5","1583","1628","10.1","21.2","7.2","-0.01","0.22","N/A","N/A","N/A","6-7-0","0.462"
"2702","Rebels","668","38.4","1582","1627","16.4","16.6","5.3","0.15","0.25","N/A","N/A","N/A","25-22-0","0.532"
"2013","Cybergnomes","671","38.3","1581","1626","13.8","19","5.5","0.23","0.27","N/A","N/A","N/A","34-29-0","0.540"
"3117","Harfangs","679","38.2","1581","1625","9.3","18.6","10.2","-0.02","0.38","N/A","N/A","N/A","14-11-0","0.560"
"4152","Hoya Robotics","690","38","1580","1624","12.4","20","5.6","0.14","0.26","N/A","N/A","N/A","28-19-0","0.596"
"6978","QuickStrike Niagara","691","37.9","1579","1623","10.2","19.7","8","0.05","0.53","N/A","N/A","N/A","29-18-0","0.617"
"7605","ASTRO","738","36.9","1573","1614","12.2","14.9","9.8","-0.04","0.41","N/A","N/A","N/A","8-4-0","0.667"
"865","WARP7","804","35.7","1566","1604","11.8","13.9","10","0.18","0.29","N/A","N/A","N/A","22-25-0","0.468"
"5910","Supertronix","826","35.4","1564","1601","9.6","13.8","11.9","-0.13","0.46","N/A","N/A","N/A","7-5-0","0.583"
"1285","The Big Bang","830","35.3","1564","1601","12","17.1","6.3","0.36","0.03","N/A","N/A","N/A","21-24-0","0.467"
"7480","Machine Mavericks","836","35.2","1563","1600","14","13","8.3","0.13","0.45","N/A","N/A","N/A","19-27-0","0.413"
"3739","Oakbotics","867","34.7","1560","1596","10.6","18.6","5.6","0.08","0.19","N/A","N/A","N/A","20-28-0","0.417"
"5528","Ultime","890","34.4","1558","1593","14.9","10.7","8.8","-0.17","0.28","N/A","N/A","N/A","11-14-0","0.440"
"6140","SMT Titans","935","33.7","1554","1587","10","17.9","5.8","0.09","0.08","N/A","N/A","N/A","21-22-0","0.488"
"5912","Heritage Robotics","955","33.3","1552","1584","10.7","16.2","6.4","0","0.4","N/A","N/A","N/A","12-16-0","0.429"
"6364","Ten Ton Robotics","956","33.3","1552","1584","7.6","20.5","5.2","0.24","0.3","N/A","N/A","N/A","13-14-0","0.481"
"7712","ACCN UMOJA","978","33","1550","1581","10.8","18","4.2","0.35","-0.03","N/A","N/A","N/A","23-21-0","0.523"
"5618","PLS","1023","32.3","1546","1576","10.3","10.4","11.6","-0.18","0.36","N/A","N/A","N/A","12-12-0","0.500"
"7287","Esquimalt Atom Smashers","1027","32.2","1545","1575","13.1","12.6","6.6","-0.21","0.33","N/A","N/A","N/A","9-6-0","0.600"
"4627","Manning Robotics","1035","32.1","1544","1573","11.6","13.6","6.8","0.08","0.36","N/A","N/A","N/A","16-14-1","0.532"
"8764","Thunder Robotics","1050","31.9","1543","1572","11","14.4","6.4","0.22","0.22","N/A","N/A","N/A","21-20-0","0.512"
"7136","Thistletown Scot Bots","1080","31.4","1540","1568","8","14","9.4","0.28","0.36","N/A","N/A","N/A","17-23-1","0.427"
"8729","Sparkling H2O","1086","31.3","1540","1567","11","13","7.3","-0.16","0.36","N/A","N/A","N/A","30-32-0","0.484"
"2386","Trojans","1107","31.1","1538","1565","10.9","13.8","6.4","0.03","0.35","N/A","N/A","N/A","18-23-0","0.439"
"781","Kinetic Knights","1148","30.7","1536","1561","12.8","9.8","8","0.26","0.35","N/A","N/A","N/A","22-22-0","0.500"
"5719","Pink Titans","1168","30.3","1533","1558","10","12.5","7.8","0.13","0.2","N/A","N/A","N/A","19-26-0","0.422"
"5031","Full Metal Mustangs","1187","30","1532","1556","9.8","12.5","7.8","0.16","0.39","N/A","N/A","N/A","20-21-1","0.488"
"8152","Escouade","1243","29.3","1527","1550","8.4","12.1","8.8","-0.21","0.25","N/A","N/A","N/A","9-7-0","0.563"
"2852","DM High Voltage","1270","28.8","1524","1546","13.4","11","4.4","-0.05","0.1","N/A","N/A","N/A","20-25-0","0.444"
"6929","Cuivre & Or","1279","28.7","1523","1545","10.5","10.3","8","-0.17","0.42","N/A","N/A","N/A","5-6-0","0.455"
"7690","Ironworks Robotics","1300","28.4","1521","1542","10.6","10.4","7.3","-0.05","0.24","N/A","N/A","N/A","23-20-0","0.535"
"8884","Knight Owls","1311","28.2","1520","1540","10.2","11.7","6.3","-0.11","0.23","N/A","N/A","N/A","23-23-0","0.500"
"4952","Les Carnicas","1319","28.1","1519","1539","8.7","14.3","5.1","-0.17","0.24","N/A","N/A","N/A","4-5-0","0.444"
"5032","Falcons","1339","27.8","1518","1537","5.2","15","7.6","0.03","0.18","N/A","N/A","N/A","15-26-0","0.366"
"7200","Banting Memorial high school","1340","27.8","1518","1537","8.1","12.4","7.4","-0.12","0.24","N/A","N/A","N/A","12-17-0","0.414"
"8067","Alpha Lab","1343","27.8","1518","1537","8.5","12.6","6.7","-0.19","0.27","N/A","N/A","N/A","5-6-0","0.455"
"6110","Doc Botics","1369","27.5","1516","1535","10.8","8.8","7.9","-0.08","0.25","N/A","N/A","N/A","11-17-0","0.393"
"3360","Hyperion","1413","27","1512","1530","7.3","10.2","9.5","0.01","0.32","N/A","N/A","N/A","9-13-1","0.413"
"6378","LYNX","1422","26.9","1512","1530","11","11.6","4.4","-0.02","0.13","N/A","N/A","N/A","19-22-0","0.463"
"8089","Rockway Robotics","1426","26.9","1512","1529","10.3","9.4","7.2","-0.14","0.22","N/A","N/A","N/A","14-26-0","0.350"
"2935","NACI Robotics","1438","26.8","1511","1528","10.9","8.2","7.7","-0.2","0.35","N/A","N/A","N/A","10-20-0","0.333"
"772","Sabre Bytes Robotics","1457","26.5","1509","1526","7.4","11.7","7.5","0.28","0.29","N/A","N/A","N/A","22-31-0","0.415"
"4955","LA Tech","1478","26.3","1508","1524","9.1","9.8","7.5","-0.18","0.41","N/A","N/A","N/A","9-4-0","0.692"
"1334","Red Devils","1481","26.3","1508","1524","9.8","7.5","9","0.12","0.4","N/A","N/A","N/A","17-24-1","0.417"
"4992","Sparbotics","1482","26.3","1508","1524","8.3","9.3","8.7","0.15","0.38","N/A","N/A","N/A","30-21-0","0.588"
"8132","Sysmik","1485","26.3","1508","1524","11","9.2","6.1","-0.09","0.16","N/A","N/A","N/A","5-4-0","0.556"
"7058","StrathDroids","1505","26","1506","1522","8.7","9.3","8.1","-0.05","0.28","N/A","N/A","N/A","12-15-0","0.444"
"1360","Orbit Robotics","1527","25.7","1504","1520","8.2","9.5","8.1","-0.15","0.24","N/A","N/A","N/A","23-24-0","0.489"
"5834","R3P2","1551","25.4","1502","1517","11.3","8.4","5.7","0","0.19","N/A","N/A","N/A","21-22-0","0.488"
"7475","WIRED Team 7475","1563","25.3","1501","1516","8.9","10.6","6","0.05","0.11","N/A","N/A","N/A","12-15-0","0.444"
"2708","Lake Effect Robotics","1583","25.1","1500","1514","7.2","11.7","6.3","-0.01","0.18","N/A","N/A","N/A","24-21-0","0.533"
"7757","Atomic Dishwashers","1597","25","1499","1513","10.5","8.8","5.6","-0.09","0.17","N/A","N/A","N/A","16-24-0","0.400"
